Date,Open,High,Low,Close
2025-05-19 00:00:00+05:30,1220.5590650803051,1233.9739854772429,1206.5478289582575,1211.317626953125
2025-05-20 00:00:00+05:30,1214.2987765247672,1226.6206541637796,1208.932783857664,1216.48486328125
2025-05-21 00:00:00+05:30,1217.379192847146,1248.6806746354746,1212.4107036743953,1216.981689453125
2025-05-22 00:00:00+05:30,1216.9816810927466,1222.0496370549406,1203.7655727646247,1214.4974365234375
2025-05-23 00:00:00+05:30,1220.260915101639,1227.1174542756844,1208.3365413384308,1222.34765625
2025-05-26 00:00:00+05:30,1222.1490353372292,1240.0355970084108,1220.956525111878,1233.0797119140625
2025-05-27 00:00:00+05:30,1236.060773576747,1241.1286083257219,1229.5023920603671,1235.3651123046875
2025-05-28 00:00:00+05:30,1239.9362224854353,1244.308395973117,1229.2042372132917,1234.7689208984375
2025-05-29 00:00:00+05:30,1237.5513369415296,1245.5009198076375,1232.5828476502122,1240.3336181640625
2025-05-30 00:00:00+05:30,1240.3336037255372,1249.6743877446809,1233.1790277497287,1243.314697265625
2025-06-02 00:00:00+05:30,1243.115921111874,1243.6127700012073,1224.7325122065424,1239.836669921875
2025-06-03 00:00:00+05:30,1242.1222210987326,1245.5008178003206,1232.9802500718451,1240.4329833984375
2025-06-04 00:00:00+05:30,1240.4330879385143,1258.0214915511724,1238.4456922172644,1244.0103759765625
2025-06-05 00:00:00+05:30,1256.23278296515,1295.1858117608106,1256.23278296515,1282.4664306640625
2025-06-06 00:00:00+05:30,1286.9379878651366,1314.5628350397599,1286.838642346005,1312.575439453125
2025-06-09 00:00:00+05:30,1319.0344834209661,1320.6243756400918,1300.352916268486,1310.7867431640625
2025-06-10 00:00:00+05:30,1312.6748344023233,1354.0126399007422,1312.6748344023233,1340.2996826171875
2025-06-11 00:00:00+05:30,1341.4920396801253,1346.858032099046,1331.753752649454,1342.5850830078125
2025-06-12 00:00:00+05:30,1351.4290029469944,1371.0048010133999,1335.0329893082992,1354.1119384765625
2025-06-13 00:00:00+05:30,1346.4605961510895,1358.186279383362,1336.5236175817088,1353.913330078125
2025-06-16 00:00:00+05:30,1351.2303273587859,1351.2303273587859,1333.7411489033973,1338.312255859375
2025-06-17 00:00:00+05:30,1339.8028560264122,1341.1939359718178,1294.390791624489,1310.48876953125
2025-06-18 00:00:00+05:30,1302.8372294450826,1316.4509627975447,1300.5517971661782,1305.0234375
2025-06-19 00:00:00+05:30,1296.7756757062768,1323.6055172726135,1296.0801357416258,1317.74267578125
2025-06-20 00:00:00+05:30,1324.0029840852253,1326.5865741266948,1309.8924024262726,1316.94775390625
2025-06-23 00:00:00+05:30,1310.5880581557142,1314.6621948925354,1293.893886525567,1309.5943603515625
2025-06-24 00:00:00+05:30,1309.5944297012165,1345.1687401930817,1300.8498400412118,1328.8721923828125
2025-06-25 00:00:00+05:30,1339.8028679479628,1339.8028679479628,1327.5803357970924,1333.14501953125
2025-06-26 00:00:00+05:30,1317.643270919055,1325.294695389663,1306.315091840999,1313.171630859375
2025-06-27 00:00:00+05:30,1320.5250976056,1323.2080332811731,1290.217313169574,1292.8009033203125
2025-06-30 00:00:00+05:30,1294.6889783955155,1296.7757196612051,1264.480538903359,1275.2125244140625
2025-07-01 00:00:00+05:30,1278.1935472057169,1286.7393241495074,1265.2754756182885,1268.75341796875
2025-07-02 00:00:00+05:30,1267.958439997564,1272.8275836590096,1255.735908082201,1262.791259765625
2025-07-03 00:00:00+05:30,1266.865319510017,1289.422210515989,1261.9961761450058,1283.1619873046875
2025-07-04 00:00:00+05:30,1294.7882278993122,1304.7252058570966,1279.0877542056126,1299.1605224609375
2025-07-07 00:00:00+05:30,1299.6573767772798,1305.122714676847,1289.9190898176507,1302.240966796875
2025-07-08 00:00:00+05:30,1302.042343657083,1302.042343657083,1265.5735597175715,1275.7093505859375
2025-07-09 00:00:00+05:30,1271.93319694103,1277.597225938257,1258.915779888787,1261.4000244140625
2025-07-10 00:00:00+05:30,1262.9000244140625,1269.9000244140625,1252.0999755859375,1262.5999755859375
2025-07-11 00:00:00+05:30,1263.0,1272.0,1251.300048828125,1254.699951171875
2025-07-14 00:00:00+05:30,1254.699951171875,1261.4000244140625,1245.300048828125,1250.5999755859375
2025-07-15 00:00:00+05:30,1254.800048828125,1264.5,1241.0,1260.9000244140625
2025-07-16 00:00:00+05:30,1260.9000244140625,1262.0,1250.0,1259.4000244140625
2025-07-17 00:00:00+05:30,1259.4000244140625,1274.800048828125,1255.5,1263.0999755859375
2025-07-18 00:00:00+05:30,1265.0,1270.5999755859375,1251.0999755859375,1257.5
2025-07-21 00:00:00+05:30,1250.199951171875,1262.4000244140625,1245.199951171875,1259.300048828125
2025-07-22 00:00:00+05:30,1261.0,1263.5999755859375,1236.0,1240.0
2025-07-23 00:00:00+05:30,1240.199951171875,1252.0999755859375,1231.0,1247.4000244140625
2025-07-24 00:00:00+05:30,1261.0999755859375,1287.9000244140625,1256.0999755859375,1265.5
2025-07-25 00:00:00+05:30,1266.0,1288.5,1261.199951171875,1277.9000244140625
2025-07-28 00:00:00+05:30,1280.0,1290.0,1271.5999755859375,1287.4000244140625
2025-07-29 00:00:00+05:30,1287.0,1302.0,1282.800048828125,1299.800048828125
2025-07-30 00:00:00+05:30,1298.0999755859375,1298.0999755859375,1277.699951171875,1292.0999755859375
2025-07-31 00:00:00+05:30,1274.5,1285.0,1257.0,1270.300048828125
2025-08-01 00:00:00+05:30,1258.0,1259.0,1213.699951171875,1220.5999755859375
2025-08-04 00:00:00+05:30,1225.0999755859375,1232.199951171875,1219.199951171875,1225.0
2025-08-05 00:00:00+05:30,1225.0,1232.0,1205.0,1214.800048828125
2025-08-06 00:00:00+05:30,1214.800048828125,1217.800048828125,1187.5,1196.699951171875
2025-08-07 00:00:00+05:30,1184.0,1210.0,1183.4000244140625,1200.800048828125
2025-08-08 00:00:00+05:30,1200.800048828125,1215.0,1195.4000244140625,1211.4000244140625
2025-08-11 00:00:00+05:30,1212.5,1237.0,1208.5999755859375,1219.5
2025-08-12 00:00:00+05:30,1210.0,1227.199951171875,1204.0999755859375,1220.300048828125
2025-08-13 00:00:00+05:30,1220.300048828125,1255.5,1219.800048828125,1253.4000244140625
2025-08-14 00:00:00+05:30,1255.0999755859375,1266.0,1250.199951171875,1260.4000244140625
